tolerance,category,count,fraction,n_pairs
0.0,both_positive,1375,0.4589452603471295,192
0.0,both_negative,540,0.1802403204272363,173
0.0,context_sign_flip,1081,0.3608144192256342,188
0.0,near_zero_or_small,0,0.0,0
1e-06,both_positive,1375,0.4589452603471295,192
1e-06,both_negative,540,0.1802403204272363,173
1e-06,context_sign_flip,1081,0.3608144192256342,188
1e-06,near_zero_or_small,0,0.0,0
0.05,both_positive,1317,0.4395861148197597,192
0.05,both_negative,484,0.16154873164218958,171
0.05,context_sign_flip,996,0.3324432576769025,187
0.05,near_zero_or_small,199,0.0664218958611482,113
0.1,both_positive,1253,0.4182242990654206,192
0.1,both_negative,442,0.14753004005340453,168
0.1,context_sign_flip,904,0.30173564753004006,185
0.1,near_zero_or_small,397,0.13251001335113485,158
