pair_id,case_id,n_diff,n_positive_consistent,positive_fraction,sign_agreement_rate,credit_abs_sum,credit_positive_sum,c_avg_sum,reward_gap,n_eff,n_eff_ratio,topk_top10,topk_top20,topk_top30,topk_top50
sab2_1acy_h:sab2_1acy_h_s06:sab2_1acy_h_s02,sab2_1acy_h,21,10,0.47619047619047616,0.47619047619047616,35.662540912628174,13.392454147338867,26.4836208820343,22.65311908721924,6.273940759477534,0.29875908378464444,0.5790195489484231,0.8436958582799153,0.9692466128690681,1.0
sab2_1acy_h:sab2_1acy_h_s29:sab2_1acy_h_s08,sab2_1acy_h,8,7,0.875,0.875,13.037312030792236,13.691404819488525,18.42760157585144,21.589767456054688,3.1511558552841006,0.3938944819105126,0.39233395571205015,0.7807023498137096,0.8623343461281261,0.9198661426616562
sab2_1acy_h:sab2_1acy_h_s19:sab2_1acy_h_s14,sab2_1acy_h,18,9,0.5,0.7777777777777778,25.950647830963135,16.917816162109375,18.00454831123352,19.42500114440918,4.423574224658048,0.2457541235921138,0.569154710000487,0.8928276125029989,0.9624694807373508,1.0
sab2_1acy_h:sab2_1acy_h_s24:sab2_1acy_h_s25,sab2_1acy_h,15,9,0.6,0.8,18.535428047180176,21.074045181274414,21.03644609451294,18.938193321228027,5.690239437723059,0.3793492958482039,0.5106671551631212,0.654052396675171,0.8471845851371755,0.9682992440221709
sab2_1acy_h:sab2_1acy_h_s00:sab2_1acy_h_s10,sab2_1acy_h,13,5,0.38461538461538464,0.6153846153846154,37.91097605228424,3.2331509590148926,15.062207520008087,15.380491256713867,2.6937031627063566,0.20720793559279665,0.7745453113521618,0.93101994289725,0.9787390406684906,1.0
sab2_1acy_h:sab2_1acy_h_s04:sab2_1acy_h_s11,sab2_1acy_h,16,10,0.625,0.8125,22.080814361572266,20.503480315208435,19.246218085289,13.215379238128662,5.4313888771698515,0.3394618048231157,0.5217649766381603,0.7500828320324061,0.8543989182889784,0.9765105234429201
sab2_1acy_h:sab2_1acy_h_s30:sab2_1acy_h_s07,sab2_1acy_h,15,4,0.26666666666666666,0.5333333333333333,33.9043575078249,7.037887811660767,9.453084506094456,12.892701625823975,2.0003774693799876,0.13335849795866583,0.811529988389528,0.9411423291156376,1.0,1.0
sab2_1acy_h:sab2_1acy_h_s28:sab2_1acy_h_s31,sab2_1acy_h,18,8,0.4444444444444444,0.6666666666666666,42.21262516826391,16.44813871383667,22.495927643030882,12.746830463409424,6.062637355517437,0.3368131864176354,0.4241246663537836,0.7431151635227753,0.9281054026197469,1.0
sab2_2f58_h:sab2_2f58_h_s10:sab2_2f58_h_s00,sab2_2f58_h,16,7,0.4375,0.625,34.16382312774658,5.438563346862793,18.638086795806885,20.604514122009277,5.317420945922017,0.3323388091201261,0.4601308807842957,0.7856054284014353,0.9368713007959146,1.0
sab2_2f58_h:sab2_2f58_h_s07:sab2_2f58_h_s24,sab2_2f58_h,18,9,0.5,0.7222222222222222,30.329284489154816,15.212772369384766,19.3033484518528,18.222795009613037,3.2512074351123257,0.1806226352840181,0.6920750001817982,0.8412005380225415,0.9233484004386228,1.0
